,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,blythe,33.61,-114.6,118.4,11,75,5.82,US,1594601088
281,cascais,38.7,-9.42,73.99,53,0,1.99,PT,1594601220
282,ust-nera,64.57,143.2,73.74,48,100,7.4,RU,1594601220
283,sechura,-5.56,-80.82,65.64,77,0,15.75,PE,1594601220
284,diffa,13.32,12.61,81.0,59,8,8.97,NE,1594601221
285,muros,42.78,-9.06,68.0,64,0,13.0,ES,1594601221
286,simpang,-1.27,104.08,73.98,98,100,1.1,ID,1594601221
287,talara,-4.58,-81.27,63.05,88,5,15.75,PE,1594601221
288,palu,-0.89,119.87,80.89,76,77,0.54,ID,1594601221
289,cayenne,4.93,-52.33,77.0,100,26,8.34,GF,1594601222
290,nyahururu,0.04,36.37,51.22,90,43,4.81,KE,1594601222
291,merauke,-8.47,140.33,79.77,78,96,16.17,ID,1594601184
292,srednekolymsk,67.45,153.68,72.16,43,6,7.99,RU,1594601222
293,sola,-13.88,167.55,80.6,78,90,23.04,VU,1594601222
294,kundiawa,-6.02,144.97,77.4,43,100,3.15,PG,1594601223
295,nola,40.92,14.53,77.0,44,0,9.17,IT,1594601223
296,bira,49.0,132.47,80.26,65,54,2.98,RU,1594601223
297,kaitong,44.81,123.15,82.44,46,100,7.56,CN,1594601223
298,coquimbo,-29.95,-71.34,55.4,82,67,3.36,CL,1594600964
299,qaqortoq,60.72,-46.03,51.8,57,100,4.7,GL,1594601223
300,sur,22.57,59.53,84.99,68,71,7.11,OM,1594601224
301,nhamunda,-2.19,-56.71,75.07,92,15,2.35,BR,1594601224
302,clyde,41.3,-82.98,73.0,82,100,1.01,US,1594601224
303,te anau,-45.42,167.72,42.24,75,3,0.11,NZ,1594601224
304,gombe,10.29,11.17,74.1,88,100,3.87,NG,1594601224
305,noyabrsk,63.2,75.45,56.5,86,100,11.59,RU,1594601225
306,swan hill,-35.34,143.55,55.29,72,0,13.44,AU,1594601095
307,biryusinsk,55.96,97.82,65.68,65,18,5.79,RU,1594601225
308,uyemskiy,64.47,40.85,50.0,100,90,1.9,RU,1594601225
309,doume,4.23,13.45,66.87,97,19,2.48,CM,1594601225
310,mawlaik,23.63,94.42,76.39,94,100,2.53,MM,1594601226
311,katsuura,35.13,140.3,73.0,76,100,1.01,JP,1594601028
312,voh,-20.97,164.7,76.44,68,99,4.16,NC,1594601226
313,tarauaca,-8.16,-70.77,76.84,69,68,1.48,BR,1594601226
314,languyan,5.26,120.08,83.8,70,100,3.8,PH,1594601226
315,sistranda,63.73,8.83,50.0,87,75,12.75,NO,1594601128
316,caraballeda,10.61,-66.85,78.15,79,13,8.41,VE,1594601117
317,alofi,-19.06,-169.92,73.4,94,32,21.92,NU,1594600951
318,utiel,39.57,-1.2,64.0,94,1,3.67,ES,1594601227
319,vanimo,-2.67,141.3,83.41,72,91,1.9,PG,1594601227
320,matara,5.95,80.54,79.14,87,100,8.66,LK,1594600999
321,dovers,12.88,-61.18,82.06,82,0,18.52,VC,1594601228
322,san carlos de bariloche,-41.15,-71.31,32.0,92,70,9.17,AR,1594601228
323,santander jimenez,24.22,-98.47,87.4,54,0,16.37,MX,1594601228
324,lianran,24.92,102.48,64.0,100,90,2.24,CN,1594601228
325,pine bluff,34.23,-92.0,87.8,62,20,4.7,US,1594601229
326,omboue,-1.57,9.26,72.68,88,100,7.99,GA,1594600998
327,yar-sale,66.83,70.83,51.37,96,100,13.04,RU,1594601059
328,dwarahat,29.78,79.43,68.88,82,2,1.74,IN,1594601229
329,gushikawa,26.35,127.87,87.8,70,1,8.05,JP,1594601229
330,kotido,2.98,34.13,65.44,80,85,4.0,UG,1594601230
331,razdolnoye,43.55,131.92,68.0,77,75,6.71,RU,1594601230
332,gainesville,29.65,-82.32,88.0,62,1,6.71,US,1594600947
333,buala,-8.14,159.59,82.4,79,100,13.85,SB,1594601230
334,itoman,26.12,127.67,87.8,74,75,10.29,JP,1594601230
335,praia da vitoria,38.73,-27.07,68.0,88,20,9.89,PT,1594600989
336,coahuayana,18.73,-103.68,69.8,88,90,17.22,MX,1594601231
337,devonport,-41.17,146.35,52.0,85,0,1.01,AU,1594601231
338,lokosovo,61.13,74.82,61.16,70,100,11.97,RU,1594601231
339,calvinia,-31.47,19.78,40.96,76,12,14.65,ZA,1594601231
340,puerto escondido,15.85,-97.07,84.2,66,90,5.82,MX,1594600980
341,genhe,50.78,121.52,85.24,37,69,1.95,CN,1594601232
342,somerset,40.57,-74.55,84.0,58,75,9.13,US,1594601232
343,kailua,21.4,-157.74,84.2,54,90,11.41,US,1594601232
344,washougal,45.58,-122.35,77.0,44,20,10.29,US,1594601232
345,nelson bay,-32.72,152.15,55.4,76,20,10.29,AU,1594601232
346,gornopravdinsk,60.05,69.9,65.48,66,99,9.04,RU,1594601227
347,guerrero,17.67,-100.0,71.4,80,85,4.05,MX,1594601107
348,henties bay,-22.12,14.28,54.0,94,0,3.0,NA,1594600957
349,cairns,-16.92,145.77,77.0,57,31,11.41,AU,1594601039
350,norman wells,65.28,-126.83,66.2,63,75,5.82,CA,1594601233
351,pemangkat,1.17,108.97,79.61,80,58,3.94,ID,1594601234
352,grindavik,63.84,-22.43,48.2,93,75,4.7,IS,1594601234
353,nanortalik,60.14,-45.24,45.97,88,100,4.23,GL,1594600945
354,coihaique,-45.58,-72.07,30.2,86,20,2.24,CL,1594601055
355,mackay,-21.15,149.2,69.8,37,75,9.17,AU,1594601032
356,promyshlennovskiy,55.48,86.2,64.4,100,0,6.71,RU,1594601234
357,cap malheureux,-19.98,57.61,73.0,74,19,8.01,MU,1594601235
358,los llanos de aridane,28.66,-17.92,71.6,73,75,10.29,ES,1594601040
359,udachnyy,66.42,112.4,64.4,55,0,6.71,RU,1594601235
360,jizan,17.33,42.67,88.72,40,20,5.06,SA,1594601235
361,manzanillo,20.34,-77.12,79.83,81,100,5.77,CU,1594601235
362,santa cruz del sur,20.71,-78.0,82.27,68,100,5.73,CU,1594601236
363,maniitsoq,65.42,-52.9,47.77,72,100,13.98,GL,1594601236
364,lastoursville,-0.81,12.73,71.29,94,67,2.42,GA,1594601236
365,kamenka,51.32,42.77,68.0,78,72,5.08,RU,1594601236
366,sao jose da coroa grande,-8.9,-35.15,74.75,79,0,8.55,BR,1594601236
367,bath,51.38,-2.36,59.0,82,26,4.09,GB,1594600965
368,puerto madryn,-42.77,-65.04,39.96,67,0,23.26,AR,1594601056
369,opuwo,-18.06,13.84,49.69,53,0,2.98,NA,1594601237
370,ozinki,51.18,49.68,74.19,54,50,8.55,RU,1594601237
371,alice springs,-23.7,133.88,52.0,53,0,6.93,AU,1594600976
372,raton,36.9,-104.44,75.2,60,75,10.29,US,1594601238
373,luanda,-8.84,13.23,68.0,88,98,3.36,AO,1594601238
374,paranaiba,-19.68,-51.19,75.33,49,63,2.57,BR,1594601238
375,katangli,51.71,143.23,56.77,83,83,6.38,RU,1594601238
376,eyl,7.98,49.82,81.61,65,35,26.8,SO,1594601238
377,karymskoye,51.62,114.35,69.93,77,82,2.82,RU,1594601238
378,nova olimpia,-14.8,-57.29,77.95,45,31,3.71,BR,1594601239
379,sibsagar,26.98,94.63,77.0,100,75,5.82,IN,1594601239
380,hamilton,39.18,-84.53,75.99,69,1,5.82,US,1594601071
381,thunder bay,48.4,-89.32,73.4,56,75,5.82,CA,1594601240
382,portland,45.52,-122.68,77.0,44,20,10.29,US,1594600552
383,ust-maya,60.42,134.53,80.38,49,92,4.7,RU,1594601240
384,la ronge,55.1,-105.28,66.2,88,90,4.7,CA,1594600982
385,tattayyangarpettai,11.13,78.45,80.6,74,40,6.93,IN,1594601240
386,montepuez,-13.13,39.0,62.51,96,51,7.11,MZ,1594601237
387,pangody,65.85,74.49,56.41,90,100,11.03,RU,1594601053
388,nichinan,31.6,131.37,77.0,88,75,4.7,JP,1594601241
389,sikasso,10.92,-7.0,74.28,91,0,4.52,ML,1594601241
390,novo aripuana,-5.12,-60.38,76.98,78,38,1.23,BR,1594601241
391,lasa,46.62,10.7,51.8,87,5,3.36,IT,1594601073
392,alcaniz,41.05,-0.13,68.0,89,0,3.0,ES,1594601242
393,richards bay,-28.78,32.04,57.65,68,0,12.84,ZA,1594601085
394,waxahachie,32.39,-96.85,95.0,53,0,3.36,US,1594601153
395,ugoofaaru,5.67,73.0,82.94,70,48,2.73,MV,1594601242
396,sribne,50.66,32.92,62.83,95,100,12.03,UA,1594601242
397,haines junction,60.75,-137.51,62.85,41,56,10.4,CA,1594601046
398,fare,-16.7,-151.02,79.48,77,100,16.13,PF,1594601243
399,gorin,51.2,136.67,77.49,60,23,2.91,RU,1594601243
400,ostersund,63.18,14.64,44.6,87,2,13.87,SE,1594601243
401,santana do acarau,-3.46,-40.21,74.46,79,1,2.04,BR,1594601243
402,broome,42.25,-75.83,71.01,88,90,11.41,US,1594601244
403,sapele,5.89,5.68,73.98,95,100,2.64,NG,1594601244
404,payo,-3.75,103.64,79.34,73,17,0.81,ID,1594601244
405,sinnamary,5.38,-52.95,78.01,88,51,8.68,GF,1594601244
406,parakou,9.34,2.63,71.98,96,100,6.11,BJ,1594601244
407,constitucion,-35.33,-72.42,52.65,84,100,5.61,CL,1594601245
408,padrauna,26.9,83.98,78.8,100,75,2.24,IN,1594601245
409,banjar,-8.19,114.97,77.0,100,75,3.36,ID,1594601245
410,bubanza,-3.12,29.4,68.27,71,25,1.07,BI,1594601245
411,trelew,-43.25,-65.31,37.89,72,0,16.58,AR,1594601072
412,bereda,43.27,-7.54,61.0,96,20,15.99,ES,1594601245
413,shache,38.42,77.24,79.88,26,85,4.32,CN,1594601246
414,adrar,20.5,-10.07,92.84,31,71,10.6,MR,1594601031
415,aklavik,68.22,-135.01,59.0,62,90,2.24,CA,1594601081
416,alcudia,39.85,3.12,77.0,50,86,4.7,ES,1594601246
417,heihe,50.24,127.49,80.6,61,23,4.47,CN,1594601247
418,mosquera,4.71,-74.23,55.4,93,75,9.17,CO,1594601247
419,powell,40.16,-83.08,73.99,69,1,6.93,US,1594600970
420,nome,64.5,-165.41,69.01,63,1,12.75,US,1594601247
421,minab,27.15,57.08,93.2,63,75,4.7,IR,1594601247
422,cilegon,-6.02,106.05,82.4,74,20,3.36,ID,1594601247
423,moree,-29.47,149.85,48.2,93,40,4.7,AU,1594601172
424,necochea,-38.55,-58.74,36.0,80,0,4.0,AR,1594601046
425,goulburn,-34.75,149.72,46.99,89,39,2.89,AU,1594601215
426,bunia,1.57,30.25,61.79,90,100,1.34,CD,1594601248
427,sarrebourg,48.73,7.05,59.0,62,4,6.93,FR,1594601249
428,gidam,18.98,81.4,77.02,88,100,1.5,IN,1594601249
429,cumra,37.57,32.77,71.6,53,0,14.99,TR,1594601249
430,rabo de peixe,37.8,-25.58,68.0,72,40,5.82,PT,1594601249
431,rayadrug,14.7,76.87,74.21,83,100,12.57,IN,1594601249
432,tessalit,20.2,1.01,88.81,33,0,12.01,ML,1594601249
433,tuatapere,-46.13,167.68,46.44,66,42,4.12,NZ,1594601250
434,matamba,-8.98,33.97,47.82,76,0,6.55,TZ,1594601250
435,eydhafushi,5.1,73.07,83.07,70,9,2.42,MV,1594601091
436,tual,-5.67,132.75,79.14,81,11,22.75,ID,1594601189
437,ketchikan,55.34,-131.65,60.8,72,90,9.17,US,1594601175
438,tolstoy-yurt,43.44,45.77,66.2,93,0,3.58,RU,1594601251
439,selyatino,55.52,36.98,59.0,93,90,6.71,RU,1594601251
440,yabelo,4.88,38.08,59.41,83,98,7.43,ET,1594601251
441,hami,42.8,93.45,79.79,31,84,6.93,CN,1594601052
442,catuday,16.29,119.81,82.69,77,100,4.52,PH,1594601252
443,mayumba,-3.43,10.66,71.56,88,100,3.89,GA,1594601079
444,limbang,4.75,115.0,80.6,83,75,1.12,MY,1594601252
445,maymyo,22.03,96.47,82.4,74,75,9.17,MM,1594601252
446,port hardy,50.7,-127.42,59.0,82,75,8.05,CA,1594601252
447,van buren,35.44,-94.35,93.2,38,1,8.05,US,1594601093
448,novoilinsk,51.68,108.71,70.63,69,28,2.53,RU,1594601253
449,kizukuri,40.81,140.39,73.99,72,20,4.7,JP,1594601247
450,taoudenni,22.68,-3.98,94.5,33,13,6.04,ML,1594601168
451,aljezur,37.32,-8.8,75.99,51,0,6.53,PT,1594601253
452,reo,12.32,-2.47,75.38,80,100,13.53,BF,1594601254
453,padang,-0.95,100.35,77.74,81,100,4.61,ID,1594601254
454,nuuk,64.18,-51.72,51.01,66,76,5.01,GL,1594601254
455,corinto,37.94,22.96,75.99,45,0,1.01,GR,1594601254
456,leshukonskoye,64.9,45.76,48.83,94,44,2.62,RU,1594601254
457,kunya,12.22,8.53,73.4,94,55,6.93,NG,1594601255
458,kieta,-6.22,155.63,79.23,83,100,8.81,PG,1594601001
459,umm lajj,25.02,37.27,82.96,74,99,7.05,SA,1594601255
460,auki,-8.77,160.7,84.6,70,79,6.11,SB,1594601255
461,taltal,-25.4,-70.48,55.98,78,43,3.8,CL,1594601061
462,nhulunbuy,-12.23,136.77,78.8,54,75,26.4,AU,1594601256
463,spasskoye,44.61,132.8,70.93,74,3,5.59,RU,1594601256
464,magistralnyy,56.17,107.45,71.13,53,86,5.84,RU,1594601256
465,kalamnuri,19.67,77.33,78.15,79,100,9.46,IN,1594601256
466,baturaja,-4.13,104.17,78.62,77,92,2.35,ID,1594601256
467,salalah,17.02,54.09,80.6,94,90,3.36,OM,1594601257
468,saint-pierre,-21.34,55.48,66.2,72,4,8.05,RE,1594601257
469,severo-yeniseyskiy,60.37,93.04,66.85,57,0,6.38,RU,1594601257
470,black river,18.03,-77.85,82.0,83,20,3.36,JM,1594601054
471,yugawara,35.15,139.07,73.99,89,100,1.01,JP,1594601257
472,kapenguria,1.25,35.09,54.27,87,6,4.23,KE,1594601258
473,luebo,-5.35,21.42,67.55,92,98,1.05,CD,1594601258
474,kajaani,64.23,27.73,50.0,100,100,3.36,FI,1594601258
475,lagos,6.58,3.75,77.0,94,20,3.36,NG,1594601086
476,sakakah,29.97,40.21,79.95,28,0,9.69,SA,1594601258
477,chipinge,-20.19,32.62,43.25,93,0,3.27,ZW,1594601259
478,harper,4.38,-7.72,74.84,81,87,7.61,LR,1594601259
479,san vicente,-26.62,-54.13,59.29,100,30,2.57,AR,1594601259
480,meulaboh,4.14,96.13,77.9,76,100,2.53,ID,1594601229
481,mount isa,-20.73,139.5,57.2,35,0,18.34,AU,1594601259
482,tres arroyos,-38.37,-60.28,38.55,70,52,12.21,AR,1594601259
483,atherton,53.52,-2.49,60.01,65,27,3.56,GB,1594601260
484,ranong,9.97,98.63,75.2,94,75,4.32,TH,1594601260
485,bulgan,48.81,103.53,63.09,78,0,3.18,MN,1594601260
486,micheweni,-4.97,39.83,76.1,78,0,12.57,TZ,1594601260
487,kaitangata,-46.28,169.85,46.99,64,24,8.01,NZ,1594601047
488,rocha,-34.48,-54.33,41.72,67,12,9.19,UY,1594601261
489,dzhubga,44.32,38.7,72.09,79,6,4.76,RU,1594601261
490,huilong,31.81,121.66,88.0,78,100,13.15,CN,1594601261
491,egersund,58.45,6.0,51.01,99,100,1.01,NO,1594601036
492,masallatah,32.62,14.0,68.68,83,0,1.01,LY,1594601262
493,norton shores,43.17,-86.26,77.0,44,20,11.41,US,1594601262
494,port blair,11.67,92.75,82.69,78,100,14.47,IN,1594601262
495,montrose,38.42,-108.27,95.0,14,1,8.05,US,1594601262
496,forio,40.73,13.86,78.01,72,11,1.99,IT,1594601262
497,houston,29.76,-95.36,96.01,49,1,5.82,US,1594601125
498,callaway,30.15,-85.57,86.0,66,1,10.29,US,1594601263
499,tarko-sale,64.92,77.78,55.99,80,100,11.07,RU,1594601263
500,ulagan,50.63,87.96,57.47,73,100,0.69,RU,1594601263
501,sao benedito do rio preto,-3.33,-43.53,73.35,88,0,2.77,BR,1594601263
502,sumbe,-11.21,13.84,69.6,90,48,5.19,AO,1594601264
503,marrakesh,31.63,-8.01,84.2,42,20,3.36,MA,1594600988
504,kremasti,36.41,28.12,78.8,69,0,13.87,GR,1594601264
505,nouadhibou,20.93,-17.03,73.4,78,0,8.05,MR,1594600999
506,caconda,-13.73,15.07,49.91,48,0,2.13,AO,1594601264
507,boysun,38.21,67.2,68.05,41,77,1.9,UZ,1594601265
508,svetlaya,46.54,138.33,65.79,66,34,5.19,RU,1594601265
509,honningsvag,70.98,25.97,49.48,81,12,5.68,NO,1594601265
510,tabas,33.6,56.92,86.0,20,76,6.93,IR,1594601265
511,moussoro,13.64,16.49,83.98,52,30,11.43,TD,1594601265
512,lorengau,-2.02,147.27,85.59,62,50,4.38,PG,1594601266
513,gao,16.64,1.64,91.71,31,65,9.42,ML,1594601266
514,tytuvenai,55.6,23.2,46.4,100,0,5.82,LT,1594601266
515,marsh harbour,26.54,-77.06,82.65,73,85,15.28,BS,1594601266
516,manaure,11.78,-72.44,82.8,69,11,14.7,CO,1594601266
517,hanyang,32.14,105.51,75.74,81,85,3.85,CN,1594601266
518,poum,-20.23,164.02,73.87,76,45,9.71,NC,1594600988
519,taunggyi,20.78,97.03,63.88,100,100,4.41,MM,1594601267
520,lungi,9.22,-12.68,72.61,97,100,3.58,SL,1594601267
521,champerico,14.3,-91.92,82.26,75,51,6.67,GT,1594601267
522,launceston,-41.45,147.17,48.99,81,40,12.75,AU,1594601267
523,phalaborwa,-23.94,31.14,47.55,64,0,3.44,ZA,1594601268
524,pochutla,15.74,-96.47,82.99,78,99,2.24,MX,1594601268
525,touros,-5.2,-35.46,71.6,94,20,3.36,BR,1594601268
526,fort-shevchenko,44.51,50.26,81.61,41,0,15.46,KZ,1594601268
527,strezhevoy,60.73,77.59,59.0,93,5,4.47,RU,1594601268
528,puerto colombia,10.99,-74.95,80.6,83,75,8.05,CO,1594601215
529,portobelo,9.55,-79.65,82.0,78,80,7.0,PA,1594601269
530,freeport,40.66,-73.58,81.0,61,1,13.87,US,1594601260
531,sandakan,5.84,118.12,80.6,88,20,3.36,MY,1594601269
532,westport,41.14,-73.36,82.99,61,1,8.05,US,1594601269
533,asyut,27.18,31.18,77.72,51,0,10.07,EG,1594601269
534,kattivakkam,13.22,80.32,77.0,100,90,5.82,IN,1594601270
535,qandala,11.47,49.87,90.59,47,75,10.36,SO,1594601270
536,santa rosa,14.31,121.11,82.0,83,75,5.82,PH,1594600975
537,namatanai,-3.67,152.43,79.43,79,100,4.81,PG,1594601087
538,kuusalu,59.44,25.44,53.01,93,100,2.24,EE,1594601270
539,darnah,32.77,22.64,74.37,83,0,17.85,LY,1594601271
540,high level,58.52,-117.14,68.0,52,90,6.93,CA,1594601271
541,nador,35.17,-2.93,75.2,94,90,3.36,MA,1594601185
542,rio verde de mato grosso,-18.92,-54.84,75.4,53,27,2.15,BR,1594601271
543,batangafo,7.3,18.28,70.21,96,100,1.1,CF,1594601271
544,vostok,46.49,135.88,66.96,85,77,2.77,RU,1594601272
545,cheyenne,41.14,-104.82,87.8,12,1,13.87,US,1594601272
546,turbat,26.0,63.04,81.37,79,100,4.34,PK,1594601272
547,lata,40.16,-8.33,72.0,73,0,2.75,PT,1594601139
548,quatre cocos,-20.21,57.76,73.0,83,75,12.75,MU,1594601273
549,nha trang,12.25,109.18,87.8,70,20,2.24,VN,1594601273
550,kuminskiy,58.67,66.57,66.06,74,53,7.99,RU,1594601273
551,bella vista,36.43,-94.23,87.8,42,1,8.05,US,1594601273
552,shelburne,44.08,-80.2,69.8,73,40,5.82,CA,1594601273
553,huarmey,-10.07,-78.15,62.15,83,36,6.24,PE,1594601274
554,sungaipenuh,-2.08,101.38,68.74,90,100,1.14,ID,1594601168
555,doka,13.52,35.77,70.68,89,100,17.18,SD,1594601183
556,cordoba,-31.41,-64.18,46.99,64,100,6.93,AR,1594601239
557,koran,43.81,18.57,59.0,82,40,2.3,BA,1594601166
558,sidi ali,36.1,0.42,75.74,71,73,1.45,DZ,1594601274
559,dabakala,8.37,-4.43,70.2,94,77,3.58,CI,1594601275
560,stokmarknes,68.56,14.91,50.0,81,88,4.0,NO,1594601275
561,santa maria,-29.68,-53.81,53.6,100,21,2.24,BR,1594601016
